Marquis Apartments,"150 E 34th St, New York, NY 10016
Kips Bay",1 bed, 1 bath,"$3,845","$4,150", 589 sq ft,202110
Marquis Apartments,"150 E 34th St, New York, NY 10016
Kips Bay",1 bed, 1 bath,"$4,385","$4,515", 687 – 709 sq ft,202110
Marquis Apartments,"150 E 34th St, New York, NY 10016
Kips Bay",2 beds, 1 bath,"$5,095",-1.0, 992 sq ft,202110
Marquis Apartments,"150 E 34th St, New York, NY 10016
Kips Bay",2 beds, 2 baths,"$5,445","$5,625", 1,202110
The Ashley,"400 W 63rd St, New York, NY 10069
Lincoln Square",1 bed, 1 bath,"$4,545","$4,735", 624 sq ft,202110
The Ashley,"400 W 63rd St, New York, NY 10069
Lincoln Square",1 bed, 1 bath,"$4,430","$4,915", 589 – 595 sq ft,202110
The Ashley,"400 W 63rd St, New York, NY 10069
Lincoln Square",1 bed, 1 bath,"$4,785","$5,030", 693 sq ft,202110
The Ashley,"400 W 63rd St, New York, NY 10069
Lincoln Square",2 beds, 2 baths,"$7,985","$8,285", 1,202110
The Ashley,"400 W 63rd St, New York, NY 10069
Lincoln Square",3 beds, 3 baths,"$13,610","$14,085", 1,202110
The Ashley,"400 W 63rd St, New York, NY 10069
Lincoln Square",3 beds, 2 baths,"$9,450","$10,090", 1,202110
The Buchanan,"160 E 48th St, New York, NY 10017
Midtown East",2 beds, 1.5 baths,"$5,467",-1.0, 862 sq ft,202110
The Buchanan,"160 E 48th St, New York, NY 10017
Midtown East",3 beds, 2 baths,"$7,462","$7,480", 1,202110
350 W 45th St,"350 W 45th St, New York, NY 10036
Times Square",2 beds, 2 baths,"$5,500",-1.0, 1,202110
The Landon,"520 W 43rd St, New York, NY 10036
Midtown West",1 bed, 1 bath,"$4,000","$5,095",0,202110
The Landon,"520 W 43rd St, New York, NY 10036
Midtown West",2 beds, 1 bath,"$4,684",-1.0, 800 sq ft,202110
116 John St,"116 John St, New York, NY 10038
Financial District",1 bed, 1 bath,"$3,254",-1.0, 528 – 735 sq ft,202110
Beatrice,"105 W 29th St, Manhattan, NY 10001
Chelsea",Studio, 1 bath,"$5,313","$6,888", 619 sq ft,202110
Beatrice,"105 W 29th St, Manhattan, NY 10001
Chelsea",Studio, 1 bath,"$4,935","$6,700", 515 sq ft,202110
Beatrice,"105 W 29th St, Manhattan, NY 10001
Chelsea",Studio, 1 bath,"$4,440","$6,339", 434 sq ft,202110
Beatrice,"105 W 29th St, Manhattan, NY 10001
Chelsea",1 bed, 1 bath,"$5,546","$6,931", 620 sq ft,202110
Beatrice,"105 W 29th St, Manhattan, NY 10001
Chelsea",1 bed, 1 bath,"$6,004","$7,389", 711 sq ft,202110
Beatrice,"105 W 29th St, Manhattan, NY 10001
Chelsea",1 bed, 1 bath,"$6,223","$7,608", 752 sq ft,202110
Beatrice,"105 W 29th St, Manhattan, NY 10001
Chelsea",1 bed, 1 bath,"$6,484","$7,869", 709 sq ft,202110
